conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,regulatedProfessionNote,scopeNote,definition,inScheme,description,code
Occupation,http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,2654,inspiciënt,"toneelmeester
inspiciënte
technisch directeur
chef-inspiciënt",,released,2024-01-25T11:28:50.295Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Technische directeuren realiseren zich binnen technische beperkingen de artistieke visies van de makers. Zij coördineren de activiteiten van verschillende productie-eenheden, zoals de plaats van het toneel, de beveiliging, de geluidsverlichting en de make-up. Zij passen het prototype aan en bestuderen de haalbaarheid, de uitvoering, de werking en de technische controle van het artistieke project. Zij zijn ook verantwoordelijk voor de uitrusting en de technische uitrusting.",2654.1.7
Occupation,http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,8121,operator draadtrekmachine,"operator draadtrekkerij
profileerder draadtrekkerij
bediener van persen in de draadtrekkerij
spoeler draadtrekkerij
draadtrekker
bediener van draadtreklijnen
wikkelaar draadtrekkerij",,released,2024-01-23T10:09:32.099Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Operators draadtrekmachine configureren en bedienen trekmachines voor ferro- en non-ferrometaalproducten, die zijn ontworpen om draden, staven, pijpen, holle profielen en buizen van hun specifieke vorm te voorzien, door de dwarsdoorsnede ervan te verkleinen en door de stoffen door een reeks trekmatrijzen te trekken.",8121.4
Occupation,http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,7543,inspecteur precisie-instrumenten,"keurster precisie-instrumenten
keurder precisie-instrumenten
kwaliteitsinspectrice precisie-instrumenten
kwaliteitsinspecteur precisie-instrumenten
kwaliteitscontroleur precisie-instrumenten",,released,2024-01-25T15:00:12.188Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Inspecteurs precisie-instrumenten zorgen ervoor dat precisie-instrumenten, zoals micrometers en meetinstrumenten, volgens de ontwerpspecificaties functioneren. Zij kunnen de precisie-instrumenten en de onderdelen daarvan aanpassen in geval van storingen.",7543.10.3
Occupation,http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,3155,monteur veiligheidssystemen luchtvaart,"technica veilgheidssystemen luchtvaart
monteuse veiligheidssystemen luchtvaart
technicus veilgheidssystemen luchtvaart
radartechnicus",,released,2024-01-29T16:01:13.998Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Monteurs veiligheidssystemen luchtvaart bieden technische ondersteuning met betrekking tot de veiligheid van luchtverkeersleidings- en luchtvaartnavigatiesystemen. Zij ontwerpen, onderhouden, installeren en bedienen deze systemen zowel op de luchthaven als aan boord van het vliegtuig volgens de voorschriften.",3155.1
Occupation,http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,2431,revenue manager,"omzetmanager
omzetbeheerder
yield manager",,released,2024-01-11T10:28:45.871Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Revenue managers maximaliseren de inkomsten uit faciliteiten zoals hotels, vakantieresorts en campings door trends en de concurrentie te analyseren. Zij helpen managers van faciliteiten bij het nemen van strategische beslissingen. Revenue managers analyseren en optimaliseren het financiële potentieel van faciliteiten en geven leiding aan de werknemers ervan.",2431.9
Occupation,http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,3212,biomedisch laboratoriummedewerker,"medewerker preanalytische afdeling
preanalytisch medewerker medisch laboratorium
laboratoriumassistente medisch laboratorium
laboratoriumassistent medisch laboratorium
medewerker monsterontvangst
medewerker laboratoriumondersteuning",,released,2024-01-24T15:38:45.842Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Biomedisch laboratoriummedewerkers werken onder toezicht van de biomedisch wetenschapper en voeren basislaboratoriumprocedures uit. Zij staan in voor de pre-analytische behandeling van monsters, zoals het controleren van de details van specimens die voor analyse zijn ontvangen, het onderhouden van analyseapparatuur, het laden van reagentia en het verpakken van specimens. Zij voeren ook administratieve taken uit, zoals het monitoren van de voorraadniveaus van reagentia die bij analyses worden gebruikt.",3212.2
Occupation,http://data.europa.eu/esco/occupation/00634fc4-802a-461b-8af0-499273756f99,3116,asfaltlaborant,"technicus asfaltproductie
laboratoriumtechnicus asfalt
labotechnicus asfalt
asfaltwegenbouwlaborant
asfalttechnoloog
technisch supervisor asfaltproductie
technicus wegbedekking
asfalttechnicus",,released,2024-01-26T15:03:25.743Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",Asfaltlaboranten inspecteren asfalt en aanverwante grondstoffen en voeren er laboratoriumtests op uit om te verzekeren dat de producten van hoge kwaliteit zijn. Zij denken ook mee over oplossingen voor technische problemen op bouwplaatsen.,3116.1.1
Occupation,http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e,5312,onderwijsassistent basisonderwijs,"klassenassistent lager onderwijs
klassenassistente basisonderwijs
onderwijsassistente lager onderwijs
klassenassistent basisonderwijs
klassenassistente lager onderwijs
onderwijsassistent lager onderwijs
onderwijsassistente basisonderwijs",,released,2023-07-04T08:19:38.994Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Onderwijsassistenten basisonderwijs bieden pedagogische en praktische ondersteuning aan leerkrachten in het basisonderwijs. Zij geven extra uitleg aan studenten die extra aandacht nodig hebben en bereiden het materiaal voor dat de leerkracht nodig heeft in de klas. Zij verrichten ook administratieve werkzaamheden, houden toezicht op de vooruitgang en het gedrag van de leerlingen en houden op hen toezicht al dan niet in aanwezigheid van de hoofdleerkracht.",5312.2
Occupation,http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,2264,fysiotherapeut,"algemene kinesiste
kinesiste
bedrijfsfysiotherapeute
fysiotherapeute
algemene kinesitherapeute
bewegingstherapeut
arbeidsfysiotherapeut
kinesitherapeut
kinesitherapeute
kinesist
algemene kinesitherapeut
oefentherapeut
bedrijfsfysiotherapeut
bewegingstherapeute
arbeidsfysiotherapeute
algemene kinesist
oefentherapeute",,released,2024-01-16T10:48:48.922Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Fysiotherapeuten zijn zelfstandige gezondheidswerkers die verantwoordelijk zijn voor de ontwikkeling, het behoud of het herstel van de functie en het verkeer gedurende de gehele levenscyclus, waarbij gebruik wordt gemaakt van empirisch onderbouwde praktijken. Zij verlichten de pijn en behandelen fysieke aandoeningen die verband houden met letsel, ziekte of andere beperkingen. De fysiotherapeuten geven patiënten en hun verzorgers de kans om de aandoening buiten de klinische omgeving te beheren. Zij werken binnen hun werkterrein en hun gedragscode. ",2264.2
Occupation,http://data.europa.eu/esco/occupation/00747307-6341-4266-a061-25416f7c6a96,2310,docent drama hoger onderwijs,"lector theater
docente acteren hoger onderwijs
lector acteren
lector drama
docente drama hoger onderwijs
docente theater hoger onderwijs
docent theater hoger onderwijs
docent acteren hoger onderwijs",,released,2024-01-16T13:49:12.7Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Het opleiden van kunsttheaterinstructeurs voor studenten in een specifieke theorie en, in de eerste plaats, op een gespecialiseerd theater in een gespecialiseerd theater, in het onderwijs of in een school of in een conservatie op het niveau van het hoger onderwijs. Zij geven een theoretische opleiding in dienst van de praktische vaardigheden en technieken die de leerlingen vervolgens op het toneel moeten volgen. De podiumkunsten uitoefenen om de voortgang van de studenten te volgen, indien nodig individueel bij te staan en hun kennis en prestaties van de theateroefening te evalueren aan de hand van opdrachten, tests en onderzoeken.",2310.1.30
Occupation,http://data.europa.eu/esco/occupation/0085f271-5999-4d42-b879-75c3b4269883,8160,hydrogeneermachinebediener,"hydrogenatietechnologe
hydrogenatietechnoloog
hydrogenatietechnicus",,released,2024-01-24T09:18:05.061Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations",Hydrogeneermachinebedieners bedienen apparatuur voor de verwerking van basisoliën tot margarine en bakvet.,8160.39
Occupation,http://data.europa.eu/esco/occupation/0090dd54-057a-4f65-bbe8-f74c4999e8e8,8160,operator pastamaker,"pastamakeroperator
bediener pastamachine
operator van pastamaker
bediener van pastamachine
operators pastamaker",,released,2024-02-22T16:06:16.592Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Operators pastamakers vervaardigen droge deegwaren. Zij halen grondstoffen uit opslagsilo’s en systemen voor de levering van ingrediënten. Deze operators mengen, persen, en extruderen om de pasta voldoende droog te maken.",8160.46
Occupation,http://data.europa.eu/esco/occupation/00913533-5237-4870-9003-d1cb806603c9,1420,manager tabakswinkel,"filiaalbeheerder verkoop tabaks- en gemaksartikelen
filiaalleidster verkoop tabaks- en gemaksartikelen
verantwoordelijke van een tabaksspeciaalzaak
verantwoordelijke van een tabakswinkel
winkelier tabaks- en gemaksartikelen
gerant van een tabakswinkel
verantwoordelijke van een tabakspeciaalzaak
filiaalmanager verkoop tabaks- en gemaksartikelen
gerante van een tabaksspeciaalzaak
manager detailhandel tabaks- en gemaksartikelen
bedrijfsleider verkoop tabaks- en gemaksartikelen
bedrijfsleidster verkoop tabaks- en gemaksartikelen
ondernemer verkoop tabaks- en gemaksartikelen
onderneemster verkoop tabaks- en gemaksartikelen
gerante van een tabakspeciaalzaak
filiaalbeheerster verkoop tabaks- en gemaksartikelen
gerant van een tabakspeciaalzaak
onderneemster detailhandel tabaks- en gemaksartikelen
ondernemer detailhandel tabaks- en gemaksartikelen
gerant van een tabaksspeciaalzaak
gerante van een tabakswinkel
filiaalleider verkoop tabaks- en gemaksartikelen",,released,2024-01-26T16:51:59.766Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations",Managers van tabakswinkels zijn verantwoordelijk voor de activiteiten en het personeel in gespecialiseerde winkels.,1420.4.42
Occupation,http://data.europa.eu/esco/occupation/009d29de-5872-43be-8d9b-abd27f8c99f1,5249,"verhuurmedewerker van andere machines, materialen en roerende goederen","medewerker verhuur  van andere machines, materialen en roerende goederen
medewerkster verhuur  van andere machines, materialen en roerende goederen
verhuurmedewerkster van andere machines, materialen en roerende goederen
verhuurmedewerker van andere machines, materialen en roerende goederen",,released,2024-01-25T09:35:09.037Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Verhuurmedewerkers van andere machines, materialen en roerende goederen zijn belast met de verhuur van apparatuur en de vaststelling van specifieke gebruiksperiodes. Zij documenteren transacties, verzekeringen en betalingen.",5249.2.1
Occupation,http://data.europa.eu/esco/occupation/00ab29a3-6d4a-4df9-b46d-de31069e36e8,2165,mijnmeter,mijnopmeter,"engineer electriciteit & instrumentatie
engineer electriciteit en instrumentatie
engineer electro & instrumentatie;",released,2024-01-25T15:10:08.054Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",Mijnmeters bereiden mijnbouwplannen voor en onderhouden deze in overeenstemming met de wettelijke en managementvereisten. Zij houden een register bij van de fysieke voortgang van de mijnbouwwerkzaamheden en van de erts- of mineraalproductie.,2165.4.2
Occupation,http://data.europa.eu/esco/occupation/00ab5610-e715-428f-99f6-b1e5e469dbcd,2263,specialist voedselveiligheid,"voedingsoperator
quality assurance-medewerker voedingsmiddelen
consulente voedselveiligheid
consulent voedselveiligheid
specialiste voedselveiligheid
productiemedewerker versindustrie
adviseur voedselveiligheid
kwaliteitsmedewerker levensmiddelen
QA-medewerker voedingsmiddelen
kwaliteitsmedewerker voedingssector
specialiste kwaliteit & voedselveiligheid
specialist kwaliteit & voedselveiligheid","Quality Assurance medewerker voedingsmiddelen
QA medewerker voedingsmiddelen",released,2024-01-25T10:40:47.807Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",Voedselveiligheidsdeskundigen organiseren processen en passen procedures toe om problemen met de voedselveiligheid te voorkomen. Ze voldoen aan de voorschriften.,2263.2
Occupation,http://data.europa.eu/esco/occupation/00c8d1cf-24f2-47d1-9f10-765e1c102811,7233,technicus landbouwmachines,"mechanicien landbouwmachines
landbouwwerktuigkkundige",,released,2024-01-25T10:01:35.496Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Technici landbouwmachines doen het onderhoud, de revisie en de reparatie van landbouwuitrusting en -machines.",7233.8
Occupation,http://data.europa.eu/esco/occupation/00cee175-1376-43fb-9f02-ba3d7a910a58,8331,buschauffeur,"autobusbestuurster
bestuurder van een bus
chauffeur van een bus
autobuschauffeur
busbestuurder
bestuurster bus
chauffeur bus
bestuurder bus
autobusbestuurder
bestuurster van een bus
busbestuurster",,released,2024-01-16T13:08:38.228Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Buschauffeurs besturen bussen of touringcars, innen het door passagiers verschuldigde geld en staan passagiers ten dienste.",8331.1
Occupation,http://data.europa.eu/esco/occupation/00fdad73-4551-4e43-b256-1d4a3759db1e,1324,import-exportmanager vlees en vleesproducten,"exportmanager vlees en vleesproducten
import- en exportmanager vlees en vleesproducten
manager internationale handel vlees en vleesproducten
manager import-export vlees en vleesproducten
customs compliance manager vlees en vleesproducten
manager transit vlees en vleesproducten
customs manager vlees en vleesproducten
hoofd douanezaken vlees en vleesproducten
manager douanezaken vlees en vleesproducten
supervisor import-export vlees en vleesproducten
afdelingshoofd internationale transit vlees en vleesproducten
expediteur import vlees en vleesproducten
importmanager vlees en vleesproducten
manager import-exportbedrijf vlees en vleesproducten
coördinator transit vlees en vleesproducten",,released,2024-01-26T11:38:36.28Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Import-exportmanagers van vlees en vleesproducten installeren en onderhouden procedures voor grensoverschrijdende handel, en coördinatie van interne en externe partijen.",1324.3.2.22
Occupation,http://data.europa.eu/esco/occupation/01205776-db8d-4588-a6a6-56d0b9c660a9,2422,beleidsmedewerker volkshuisvesting,"beleidsambtenaar huisvesting
beleidsmedewerker huisvesting
beleidsambtenaar volkshuisvesting",,released,2023-10-31T17:37:46.596Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Beleidsmedewerkers volkshuisvesting onderzoeken, analyseren en ontwikkelen een huisvestingsbeleid dat betaalbare en adequate huisvesting voor iedereen mogelijk maakt. Zij voeren dit beleid uit om de huisvestingssituatie van de bevolking te verbeteren via maatregelen zoals het bouwen van betaalbare woningen, het ondersteunen van mensen bij de aankoop van onroerend goed en het verbeteren van de omstandigheden in bestaande woningen. Beleidsmedewerkers volkshuisvesting werken nauw samen met partners, externe organisaties of andere belanghebbenden en geven hun regelmatig updates.",2422.12.8
Occupation,http://data.europa.eu/esco/occupation/01484951-15e6-4b88-a20f-1201868d36a0,3434,chefkok,"chef
keukenmanager
chef de cuisine
hoofdkok
keukenchef
chef-kok",sous-chef,released,2024-01-26T12:38:03.594Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Chefkoks beheren de keuken en houden toezicht op de bereiding, het koken en het serveren van voedsel.",3434.1.1
Occupation,http://data.europa.eu/esco/occupation/0152b59d-5005-470c-9273-ef321477d8dc,8131,machineoperator chemisch gebonden non-wovens,"machinebediener non-wovens (chemisch)
operator machines voor non-wovenproducten (chemisch)
operator productie non-wovenproducten (chemisch)
productiemedewerkster non-wovens (chemisch)
operator non-wovenproductielijn (chemisch)
productiemedewerker non-wovens (chemisch)
operator vliesstofvervaardiging (chemisch)
machineoperator non-wovens (chemisch)","productiemedewerkster non-wovens (chemisch)
operator nonwovenproductielijn (chemisch)
operator productie nonwovenproducten (chemisch)
machineoperator chemisch gebonden nonwovens
machineoperator nonwovens (chemisch)
machinebediener nonwovens (chemisch)
operator machines voor nonwovenproducten (chemisch)
productiemedewerker nonwovens (chemisch)",released,2023-12-19T10:24:29.092Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",Machineoperators chemisch gebonden non-wovens vervaardigen chemisch gebonden non-wovens.,8131.15
Occupation,http://data.europa.eu/esco/occupation/01649ae9-22ee-4dba-83a8-3a2c51fbbe95,1345,directeur hogeronderwijsinstelling,"algemeen directrice hogeschool
voorzitster hogeschool
directeur instelling voor hoger onderwijs
rector magnificus
directrice hoger onderwijs
directeur hoger onderwijs
rectrice
voorzitster van het college van bestuur
algemeen directeur hogeschool
directeur hogeschool
directrice hogeronderwijsinstelling
directrice instelling voor hoger onderwijs
rectrix
directrice hogeschool
voorzitter hogeschool
voorzitter van het college van bestuur
rectrix magnifica
rector",,released,2024-01-26T12:43:59.132Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Directeuren van hogeronderwijsinstellingen beheren de dagelijkse activiteiten van een instelling voor hoger onderwijs, zoals een hogeschool of een beroepsopleiding. Directeuren van hogeronderwijsinstellingen nemen besluiten over de toelating en zijn verantwoordelijk voor het voldoen aan de normen van het curriculum, die de academische ontwikkeling van de studenten bevorderen. Zij beheren het personeel, de begroting van de school, campusprogramma’s en houden toezicht op de communicatie tussen de afdelingen. Zij zorgen er ook voor dat de instelling voldoet aan de nationale opleidingsvereisten die bij wet zijn vastgesteld.",1345.1.5
Occupation,http://data.europa.eu/esco/occupation/0181835d-dd00-49e2-9fc4-e1382a65957f,3123,teamleider isolatie,"ploegbaas isolatiewerken
teamleider isolatieplaatsing",,released,2024-01-25T09:00:44.642Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations",Teamleiders isolatie monitoren de isolatiewerkzaamheden. Zij wijzen taken toe en nemen snelle beslissingen om problemen op te lossen.,3123.1.13
Occupation,http://data.europa.eu/esco/occupation/01989dd8-36c0-43cc-a82d-2bfc409de9c4,2149,ontmantelingsdeskundige,,,released,2024-01-29T16:00:05.821Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Ontmantelingsdeskundigen onderzoeken en plannen de optimale manier om industriële apparatuur, machines en gebouwen die de eindfase van hun levensduur hebben bereikt, te ontmantelen. Zij analyseren de vereiste werkzaamheden en plannen de verschillende operaties. Ze geven instructies aan teamleiders en houden toezicht op hun werk.",2149.8
Occupation,http://data.europa.eu/esco/occupation/01a83071-6533-4675-b2da-f0c6d02669f5,3315,schadebehandelaar,"moterrijtuigenschadebehandelaar
brandschadebehandelaarster
brandschadebehandelaar
schadebehandelaarster motorrijtuigen
schadebehandelaarster
schadebehandelaar water
casebehandelaar
schadebehandelaarster woningen
letselschadebehandelaar
claimbehandelaar
woningschadebehandelaarster
waterschadebehandelaarster
casebehandelaar verzekeringen
claimsbehandelaar
casebehandelaarster verzekeringen
schadebehandelaar woningen
schadebehandelaarster letsels
woningschadebehandelaar
letselschadebehandelaarster
claimsbehandelaarster
schadebehandelaar woning
claimbehandelaarster
waterschadebehandelaar
schadebehandelaarster brand
motorrijtuigenschadebehandelaarster
schaderegelaar
schadebehandelaar letsels
schadebehandelaarster woning
schadebehandelaar motorrijtuigen
schadebehandelaar brand
schaderegelaarster
casebehandelaarster
schadebehandelaarster water",,released,2024-01-24T15:45:53.002Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Schadebehandelaars zorgen ervoor dat alle verzekeringsclaims accuraat worden afgehandeld en dat geldige claims aan de verzekerden worden uitbetaald. Zij gebruiken statistische gegevens en rapporten om claims te berekenen en zo nodig aan te passen, communiceren met verzekeringnemers, begeleiden hen en volgen de voortgang van een claim op.",3315.3
Occupation,http://data.europa.eu/esco/occupation/01bcac9f-7881-4664-bd63-dea700e3b117,1223,manager productontwikkeling kleding,"brandmanager
chef modeatelier
productmanager confectie-industrie
productverantwoordelijke confectie-industrie
manager sample room
brand manager
hoofd productontwikkeling kleding
projectverantwoordelijke
projectmanager
directrice productontwikkeling kleding
directeur productontwikkeling kleding",,released,2024-01-16T15:06:01.417Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Managers op het gebied van de productontwikkeling van kleding definiëren productconcepten die consistent zijn met de doelgroep en de algemene marketingstrategie. Zij ontvangen wetenschappelijke bevindingen en specificaties om het voortouw te nemen bij de briefing en uitvoering van alle relevante seizoens- en strategische concepten, met inbegrip van distributie per kanaal, product, kleurintroducties en handelswaar. Zij zorgen voor de realisatie en uitvoering binnen de begroting. Zij beheren en voeren de productlijn en levenscyclus van de categorie uit, van de bepaling van het concept tot verkoop en distributie, bijdrage aan marktonderzoek, trends in de bedrijfstak, om categorieconcepten en producten te beïnvloeden.",1223.2.1.1
Occupation,http://data.europa.eu/esco/occupation/01d74409-5303-4b5c-8925-0cc21c4da8ee,2641,medisch schrijver/medisch schrijfster,"medisch schrijver
medisch schrijfster",,released,2023-10-24T15:54:20.773Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Medisch schrijvers produceren en verwerken wetenschappelijke documenten in verband met medische kwesties. Zij werken samen met wetenschappers, artsen en andere gezondheidswerkers.",2641.4.5
Occupation,http://data.europa.eu/esco/occupation/01da600c-ddb3-4a37-95e9-5301b459ae90,8131,operator nitroglycerineseparator,,,released,2023-12-19T10:21:40.36Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Operators nitroglycerineseparator onderhouden de zwaartekrachtscheider die wordt gebruikt bij de verwerking van explosieven, door de temperatuur en de vloeistofstroom te controleren, teneinde nitroglycerine van gebruikte zuren te scheiden.",8131.14
Occupation,http://data.europa.eu/esco/occupation/01ffb917-98dc-48c1-91ad-93c4104e791d,2149,biomedisch technoloog,"ingenieur biomedische technologie
klinisch fysicus
biomedisch technologe
klinisch fysica
biomedisch specialist
ingenieur biomedisch onderzoek
ingenieur gezondheidstechniek
fysisch research-technicus
biomedisch specialiste",,released,2024-01-23T11:02:42.406Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/8ae4b9f3-507e-4057-a145-2f96f0132613","Biomedische technologen combineren kennis van technische beginselen en biologische bevindingen voor de ontwikkeling van medische behandelingen, geneesmiddelen en algemene gezondheidsdoeleinden. Zij kunnen oplossingen ontwikkelen, variërend van de verbetering van de bestanddelen in conventionele geneesmiddelen tot implantaten, en weefselbehandeling.",2149.5.1
Occupation,http://data.europa.eu/esco/occupation/021663ca-a367-472e-a1f0-6d8ab5b2d860,3412,voogd,"jeugdvoogd
voogdes",,released,2024-01-16T15:56:09.562Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Voogden bieden bijstand en ondersteuning aan minderjarige kinderen, geestelijk gehandicapten of hulpbehoevende ouderen in hun persoonlijke leven. Zij kunnen hun eigendom beheren, helpen bij de dagelijkse financiële administratie en bij de medische of sociale behoeften van de betrokken persoon onder voogdij.",3412.2
Occupation,http://data.europa.eu/esco/occupation/02375132-3290-4221-bf55-d93ec61a3bf3,7318,wever,"operator weefmachine
handweefster
textielarbeider (weverij)
weefster (weefmachine)
weefster
wever (handgetouw)
weefster (handgetouw)
textielarbeidster (weverij)
handwever
wever (weefmachine)",,released,2024-01-03T13:36:26.002Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Wevers voeren het weefproces uit met traditionele handweefmachines (van zijde tot tapijt, van plat tot jacquard). Zij houden toezicht op de toestand van de machines en de kwaliteit van de stof, zoals gewoven stof voor kleding, huishoudelijk textiel of technisch eindgebruik. Zij werken met machines die garens omzetten in stof zoals dekens, tapijten, handdoeken en kleding. Zij verhelpen storingen en controleren de stof die uit het weefgetouw komt.
	",7318.6
Occupation,http://data.europa.eu/esco/occupation/02447817-ea01-4d8b-b09c-8bc128e447e6,7122,tegelzetter,"tegellegger
tegellegster
vloerder
tegelzetster",,released,2024-01-23T11:39:11.54Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Tegelzetters installeren tegels op muren en vloeren. Ze snijden tegels naar de juiste afmetingen en vorm, bereiden het oppervlak voor en plaatsen de tegels, aansluitend en recht. Tegelzetters kunnen zich ook bezighouden met creatieve en artistieke projecten. Sommigen leggen mozaïeken.",7122.4
Occupation,http://data.europa.eu/esco/occupation/0249b723-1d20-4ff9-8623-d20b98d0b4a4,1420,bedrijfsleider verkoop schoenen en lederwaren,"verkoopleider detailhandel schoenen en lederwaren
verkoopchef schoenen en lederwaren
bedrijfsleidster verkoop schoenen en lederwaren
floormanager verkoop schoenen en lederwaren
afdelingsmanager verkoop schoenen en lederwaren
afdelingschef verkoop schoenen en lederwaren",,released,2024-01-26T11:45:55.696Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations",Bedrijfsleiders van schoenen en lederwaren zijn verantwoordelijk voor activiteiten en personeel in gespecialiseerde winkels.,1420.4.38
