conceptType,conceptUri,iscoGroup,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,regulatedProfessionNote,scopeNote,definition,inScheme,description,code
Occupation,http://data.europa.eu/esco/occupation/0552ff45-b282-455c-b431-fb05a0e00801,1219,manager gieterij,"productiemanager gieterij
locatiemanager
gieterijmanager
operationeel manager gieterij
procesmanager gieterij",,released,2024-01-25T12:13:08.612Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Managers van gieterijen coördineren en voeren gietproductieschema’s voor de korte en de middellange termijn uit en coördineren de ontwikkeling, ondersteuning en verbetering van de gietprocessen en de betrouwbaarheidsinspanningen van de onderhouds- en technische afdelingen. Zij zijn ook partner met lopende saneringsinitiatieven.",1219.5.2
Occupation,http://data.europa.eu/esco/occupation/0561328b-875b-4ae2-9ba1-9af9049aef01,2422,Category specialist aanbesteding,"categorie specialist
toeleveringsspecialist
marktspecialist",,released,2024-02-22T15:43:58.787Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Category specialists aanbesteding zijn deskundigen van specifieke markten en contractvormen en bieden geavanceerde kennis van een bepaalde categorie leveringen, diensten of werken. Met hun geavanceerde kennis van leveranciers en hun aanbod helpen zij om de toegevoegde waarde voor interne en externe klanten en de tevredenheid van de eindgebruiker te verbeteren.
	",2422.14
Occupation,http://data.europa.eu/esco/occupation/056bef79-c125-47ab-b6b9-8eed05c9458c,7422,monteur telecommunicatie,"technisch medewerker telecommunicatie
installateur telecommunicatie
onderhoudsmonteur telecommunicatie
telecommonteur",,released,2024-01-25T14:29:19.842Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Monteurs telecommunicatie installeren, testen, onderhouden en herstellen telecommunicatiesystemen. Zij herstellen of vervangen defecte apparaten en apparatuur en onderhouden een veilige werkomgeving en een volledige inventaris van de leveringen. Zij verlenen ook gebruikers- of klantenbijstand. 
 ",7422.7
Occupation,http://data.europa.eu/esco/occupation/056f1849-7ff8-4d6f-9b8a-176a610bba44,5242,promotiemedewerker,"promotiemedewerker
demonstrateur
commercieel demonstratrice
demonstratrice
medewerkster van een promoteam
promotiemedewerkster
commercieel demonstrateur
medewerker van een promoteam",,released,2024-01-23T13:51:44.35Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations",Promotiemedewerkers zijn proactief gericht op het zoeken naar nieuwe potentiële klanten. Zij geven productspecifiek advies en demonstreren promotionele producten of diensten.,5242.1
Occupation,http://data.europa.eu/esco/occupation/0599d0e7-398f-464b-97bb-427686f27d50,2320,instructeur scheepvaart,"instructeur maritieme technieken
instructeur maritieme techniek
instructrice maritieme techniek
instructeur maritieme vorming
instructrice scheepvaart
instructrice maritieme vorming
instructrice maritieme technieken",,released,2024-01-25T10:48:56.651Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Maritieme instructeurs geven les over al degenen die beroepshalve een boot of een schip uitvoeren, zoals schippers en kapiteins van schepen, hoe zij hun binnenvaartschepen of zeeschepen in overeenstemming met de voorschriften kunnen exploiteren. Zij geven les over de theorie en de technieken van hun studenten met betrekking tot het optimaal loodsen, sturen en navigeren, en het in stand houden van hun specifieke schip of schip, observeren en evalueren de praktijk van de studenten. Zij richten zich ook op niet-sturende onderwerpen, zoals klantendienst (in het geval van personenvervoer) en veiligheidsvoorschriften.",2320.1.17
Occupation,http://data.europa.eu/esco/occupation/05a06850-d465-481e-9d68-792d4ad1da3e,3311,valutatrader,"valutahandelaar
medewerkster forex
medewerker forex
trader valuta
forex trader
trader vreemde valuta
specialist valutahandel",,released,2024-01-24T15:44:47.36Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations",Valutatraders kopen en verkopen vreemde valuta's om winst te maken op wisselkoersschommelingen. Zij voeren technische analyses uit op economische informatie (marktliquiditeit en -volatiliteit) om de toekomstige koersen van valuta's op de valutamarkt te voorspellen. Zij handelen in eigen naam of voor hun werkgevers.,3311.3.2
Occupation,http://data.europa.eu/esco/occupation/05a55bb3-68d6-4ff0-83fd-46a68a45a598,3115,technisch ingenieur lucht- en ruimtevaart,"vliegtuigbouwkundige
luchtvaarttechnicus avionica en elektriciteit
technicus ruimtevaart
technisch ingenieur luchtvaart
ruimtevaarttechnicus
technicus voor vliegtuigstructuren
luchtvaarttechnicus
technicus luchtvaart
technicus vliegtuigbouw
technisch ingenieur ruimtevaart",,released,2024-01-16T13:15:18.262Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Technisch ingenieurs lucht- en ruimtevaart werken samen met ingenieurs lucht- en ruimtevaart om apparatuur die in lucht- en ruimtevaartuigen wordt gebruikt te bedienen, te onderhouden en te testen. Zij beoordelen blauwdrukken en instructies om testspecificaties en -procedures te bepalen. Zij gebruiken software om te verzekeren dat onderdelen van een ruimtevaartuig of vliegtuig goed functioneren. Zij registreren testprocedures en -resultaten en bevelen wijzigingen aan.",3115.1.1
Occupation,http://data.europa.eu/esco/occupation/05ae3e87-36ad-428f-a086-8a2ed458db3b,8172,operator tafelzaagmachine,"bediener tafelzaagmachine
bediener zaagtafel
operator zaagtafel
bediener tafelcirkelzaag
operator tafelcirkelzaag
bediener bouwcirkelzaag
operator bouwcirkelzaag
bediener tafelzaag
operator tafelzaag",,released,2024-01-26T15:38:08.645Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations","Operators tafelzaagmachine werken met industriële zagen die met een ronddraaiend cirkelvormig blad zagen. De zaag is ingebouwd in een tafel. De operator stelt de hoogte van de zaag in om controle te hebben over de diepte van de snee. Hij besteedt bijzondere aandacht aan de veiligheid, aangezien factoren zoals natuurlijke spanningen in het hout onvoorspelbare krachten kunnen opleveren.",8172.5.3
Occupation,http://data.europa.eu/esco/occupation/05ebeb56-6ceb-488d-ba91-ed15088efc8e,3123,voorman brugbouw,,,released,2024-01-24T16:00:15.233Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/member-occupations",Voormannen brugbouw monitoren de bouw van bruggen. Zij wijzen taken toe en nemen snelle beslissingen om problemen op te lossen.,3123.1.2
Occupation,http://data.europa.eu/esco/occupation/05f321f8-055b-407d-bf19-e0ddabda56b7,7112,metselaar,"aannemer metselwerken
aannemer metselwerk
aanneemster metselwerken
metselaarster
aanneemster metselwerk",metser,released,2024-01-23T11:37:45.456Z,http://data.europa.eu/esco/regulated-professions/unregulated,,,"http://data.europa.eu/esco/concept-scheme/member-occupations,
http://data.europa.eu/esco/concept-scheme/occupations","Metselaars zetten bakstenen muren en structuren op door vakkundig de stenen in een vast patroon te leggen, waarbij gebruik wordt gemaakt van cement en dergelijke als bindmiddel. Vervolgens vullen zij de voegen met mortel of andere toepasselijke materialen.",7112.1
